0      0     0     
0.05      0.0469381     0.0951229     
0.1      0.093668     0.180967     
0.15      0.139983     0.258212     
0.2      0.185679     0.327492     
0.25      0.230558     0.3894     
0.3      0.274426     0.444491     
0.35      0.317097     0.493282     
0.4      0.358396     0.536256     
0.45      0.398154     0.573865     
0.5      0.436216     0.606531     
0.55      0.472439     0.634645     
0.6      0.506692     0.658574     
0.65      0.538859     0.67866     
0.7      0.568837     0.695219     
0.75      0.596542     0.70855     
0.8      0.6219     0.718926     
0.85      0.644859     0.726605     
0.9      0.665379     0.731825     
0.95      0.683437     0.734808     
1      0.699027     0.735759     
1.05      0.712158     0.734869     
1.1      0.722854     0.732316     
1.15      0.731154     0.728265     
1.2      0.737112     0.722866     
1.25      0.740794     0.716262     
1.3      0.742281     0.708583     
1.35      0.741661     0.699949     
1.4      0.739038     0.690471     
1.45      0.734521     0.680254     
1.5      0.72823     0.66939     
1.55      0.720291     0.657969     
1.6      0.710835     0.646069     
1.65      0.7     0.633765     
1.7      0.687924     0.621124     
1.75      0.67475     0.608209     
1.8      0.660619     0.595076     
1.85      0.645674     0.581778     
1.9      0.630054     0.568361     
1.95      0.613896     0.554869     
2      0.597335     0.541341     
2.05      0.580497     0.527813     
2.1      0.563506     0.514317     
2.15      0.546476     0.500882     
2.2      0.529517     0.487534     
2.25      0.512728     0.474297     
2.3      0.4962     0.461191     
2.35      0.480016     0.448235     
2.4      0.464248     0.435446     
2.45      0.448959     0.422839     
2.5      0.434203     0.410425     
2.55      0.420024     0.398216     
2.6      0.406455     0.386223     
2.65      0.39352     0.374451     
2.7      0.381234     0.36291     
2.75      0.369605     0.351603     
2.8      0.358629     0.340536     
2.85      0.348297     0.329713     
2.9      0.338591     0.319135     
2.95      0.329488     0.308804     
3      0.320958     0.298722     
3.05      0.312966     0.288889     
3.1      0.305473     0.279305     
3.15      0.298436     0.269968     
3.2      0.291809     0.260878     
3.25      0.285544     0.252032     
3.3      0.279593     0.243429     
3.35      0.273906     0.235065     
3.4      0.268434     0.226938     
3.45      0.263129     0.219045     
3.5      0.257945     0.211382     
3.55      0.252837     0.203945     
3.6      0.247764     0.196731     
3.65      0.242687     0.189735     
3.7      0.237573     0.182954     
3.75      0.232392     0.176383     
3.8      0.227116     0.170018     
3.85      0.221725     0.163854     
3.9      0.216203     0.157887     
3.95      0.210537     0.152112     
4      0.204722     0.146525     
4.05      0.198754     0.141121     
4.1      0.192636     0.135896     
4.15      0.186376     0.130845     
4.2      0.179984     0.125963     
4.25      0.173476     0.121246     
4.3      0.166871     0.11669     
4.35      0.160189     0.112289     
4.4      0.153456     0.108041     
4.45      0.146699     0.103939     
4.5      0.139946     0.099981     
4.55      0.133227     0.0961616     
4.6      0.126573     0.0924769     
4.65      0.120015     0.0889229     
4.7      0.113584     0.0854956     
4.75      0.107311     0.0821911     
4.8      0.101225     0.0790056     
4.85      0.0953526     0.0759353     
4.9      0.0897212     0.0729765     
4.95      0.0843538     0.0701257     
5      0.0792715     0.0673795     
5.05      0.0744924     0.0647343     
5.1      0.0700316     0.0621868     
5.15      0.0659009     0.0597339     
5.2      0.0621084     0.0573723     
5.25      0.0586592     0.0550989     
5.3      0.0555543     0.0529109     
