7.05      0.0270001     0.0122305     1.20761
7.1      0.0249728     0.0117165     1.13142
7.15      0.0228914     0.0112236     1.03958
7.2      0.0207755     0.0107508     0.932451
7.25      0.0186453     0.0102975     0.810659
7.3      0.0165214     0.00986287     0.675114
7.35      0.0144243     0.00944611     0.527009
7.4      0.0123741     0.00904654     0.367827
7.45      0.0103904     0.00866348     0.199337
7.5      0.00849198     0.00829627     0.0235907
7.55      0.00669632     0.00794426     0.157088
7.6      0.00501962     0.00760686     0.340119
7.65      0.00347649     0.00728348     0.522688
7.7      0.00207973     0.00697354     0.701769
7.75      0.000840185     0.00667651     0.874158
7.8      0.000233358     0.00639187     1.03651
7.85      0.00113432     0.00611911     1.18537
7.9      0.00185836     0.00585775     1.31725
7.95      0.00240344     0.00560733     1.42863
8      0.00276985     0.0053674     1.51605
8.05      0.0029601     0.00513754     1.57617
8.1      0.00297897     0.00491733     1.60581
8.15      0.00283334     0.00470639     1.60202
8.2      0.00253212     0.00450432     1.56215
8.25      0.00208607     0.00431077     1.48392
8.3      0.00150769     0.00412538     1.36547
8.35      0.000810959     0.00394782     1.20542
8.4      1.11883e-05     0.00377777     1.00296
8.45      0.000875232     0.00361492     0.757883
8.5      0.00183106     0.00345896     0.470633
8.55      0.00283844     0.00330962     0.142366
8.6      0.00387917     0.00316662     0.22502
8.65      0.00493494     0.00302969     0.628856
8.7      0.00598756     0.00289859     1.06568
8.75      0.00701925     0.00277307     1.53122
8.8      0.00801286     0.0026529     2.02041
8.85      0.00895208     0.00253786     2.52742
8.9      0.00982164     0.00242772     3.04562
8.95      0.0106076     0.0023223     3.56771
9      0.0112973     0.00222138     4.08571
9.05      0.0118798     0.00212478     4.59108
9.1      0.0123459     0.00203232     5.07477
9.15      0.012688     0.00194382     5.52734
9.2      0.0129006     0.00185912     5.93908
9.25      0.0129801     0.00177807     6.30015
9.3      0.0129249     0.00170049     6.6007
9.35      0.0127352     0.00162625     6.83102
9.4      0.0124133     0.00155521     6.98177
9.45      0.0119634     0.00148723     7.04407
9.5      0.0113913     0.00142218     7.00973
9.55      0.0107047     0.00135994     6.87143
9.6      0.00991277     0.00130039     6.62291
9.65      0.00902611     0.00124341     6.25913
9.7      0.00805659     0.0011889     5.7765
9.75      0.00701714     0.00113675     5.17301
9.8      0.0059216     0.00108685     4.4484
9.85      0.00478447     0.00103912     3.60434
9.9      0.0036207     0.000993459     2.64454
9.95      0.00244555     0.00094978     1.57486
