# Summation of harmonic series up and down

# N                    Difference in Sums                Sum Up                  Sum Down
1.000e+00            -7.375318050384521484e+00   2.828968524932861328e+00   2.828968286514282227e+00
2.000e+00            -7.336769580841064453e+00   5.177377700805664062e+00   5.177377223968505859e+00
3.000e+00            -6.350693225860595703e+00   7.484478473663330078e+00   7.484471797943115234e+00
4.000e+00            -6.409212112426757812e+00   9.787512779235839844e+00   9.787505149841308594e+00
5.000e+00            -4.538969993591308594e+00   1.209084129333496094e+01   1.209014225006103516e+01
6.000e+00            -2.910942316055297852e+00   1.435735702514648438e+01   1.439265060424804688e+01
7.000e+00            -1.398359775543212891e+00   1.540368270874023438e+01   1.668603134155273438e+01
8.000e+00            -1.002153754234313965e+00   1.540368270874023438e+01   1.880791854858398438e+01
