# Spherical Bessel functions via up and down recursion, l = 10
#   x       jdown(x)      jup(x)         rel. error          log10(x)    log10(rel.err.)   Bessel GSL Routuine
0.10000000 7.27151100e-21 3.42674434e+02  1.00000000e+00  -1.00000000e+00  0.00000000e+00  7.27151100e-21
0.20000000 7.44117253e-18 -1.37159336e-01  1.00000000e+00  -6.98970004e-01  0.00000000e+00  7.44117253e-18
0.30000000 4.28629297e-16 3.90825579e-04  1.00000000e+00  -5.22878745e-01  -9.52610888e-13  4.28629297e-16
0.40000000 7.59990549e-15 -3.66289640e-04  1.00000000e+00  -3.97940009e-01  0.00000000e+00  7.59990549e-15
0.50000000 7.06412396e-14 -2.15357267e-05  1.00000000e+00  -3.01029996e-01  0.00000000e+00  7.06412396e-14
0.60000000 4.36346695e-13 3.81548434e-06  9.99999771e-01  -2.21848750e-01  -9.93336334e-08  4.36346695e-13
0.70000000 2.03269081e-12 -7.70117235e-07  1.00000000e+00  -1.54901960e-01  0.00000000e+00  2.03269081e-12
0.80000000 7.70146281e-12 -3.54663507e-07  1.00000000e+00  -9.69100130e-02  0.00000000e+00  7.70146281e-12
0.90000000 2.49167513e-11 2.76932068e-08  9.98202133e-01  -4.57574906e-02  -7.81506495e-04  2.49167513e-11
1.00000000 7.11655264e-11 4.00101485e-08  9.96448942e-01  -4.82163733e-17  -1.54494943e-03  7.11655264e-11
1.10000000 1.83742679e-10 5.86030228e-09  9.39198772e-01  4.13926852e-02  -2.72424842e-02  1.83742679e-10
1.20000000 4.36434583e-10 -4.87672616e-09  1.00000000e+00  7.91812460e-02  0.00000000e+00  4.36434583e-10
1.30000000 9.66436816e-10 -1.53302670e-09  1.00000000e+00  1.13943352e-01  0.00000000e+00  9.66436816e-10
1.40000000 2.01587241e-09 2.26030055e-09  5.71604883e-02  1.46128036e-01  -1.24290407e+00  2.01587241e-09
1.50000000 3.99344070e-09 3.44967523e-09  7.30561595e-02  1.76091259e-01  -1.13634316e+00  3.99344070e-09
1.60000000 7.56302213e-09 7.33667275e-09  1.51915448e-02  2.04119983e-01  -1.81839806e+00  7.56302213e-09
1.70000000 1.37674742e-08 1.37292040e-08  1.39181060e-03  2.30448921e-01  -2.85641986e+00  1.37674742e-08
1.80000000 2.41973554e-08 2.41995347e-08  4.50289832e-05  2.55272505e-01  -4.34650786e+00  2.41973554e-08
1.90000000 4.12158807e-08 4.12450617e-08  3.53877425e-04  2.78753601e-01  -3.45114714e+00  4.12158807e-08
2.00000000 6.82530086e-08 6.83419910e-08  6.51432152e-04  3.01029996e-01  -3.18613081e+00  6.82530086e-08
2.10000000 1.10183156e-07 1.10186860e-07  1.68076022e-05  3.22219295e-01  -4.77449424e+00  1.10183156e-07
2.20000000 1.73802576e-07 1.73800116e-07  7.07783084e-06  3.42422681e-01  -5.15009982e+00  1.73802576e-07
2.30000000 2.68423900e-07 2.68438837e-07  2.78239912e-05  3.61727836e-01  -4.55558057e+00  2.68423900e-07
2.40000000 4.06606642e-07 4.06602432e-07  5.17783663e-06  3.80211242e-01  -5.28585166e+00  4.06606642e-07
2.50000000 6.05043623e-07 6.05045591e-07  1.62630727e-06  3.97940009e-01  -5.78879740e+00  6.05043623e-07
2.60000000 8.85624115e-07 8.85625841e-07  9.74510960e-07  4.14973348e-01  -6.01121327e+00  8.85624115e-07
2.70000000 1.27669516e-06 1.27669838e-06  1.25992210e-06  4.31363764e-01  -5.89965631e+00  1.27669516e-06
2.80000000 1.81454273e-06 1.81454283e-06  2.70944897e-08  4.47158031e-01  -7.56711902e+00  1.81454273e-06
2.90000000 2.54511432e-06 2.54511372e-06  1.17072933e-07  4.62397998e-01  -6.93154350e+00  2.54511432e-06
3.00000000 3.52600389e-06 3.52600290e-06  1.41151597e-07  4.77121255e-01  -6.85031420e+00  3.52600389e-06
3.10000000 4.82871932e-06 4.82871959e-06  2.86083104e-08  4.91361694e-01  -7.54350779e+00  4.82871932e-06
